Match _date,Format,Year,Opposition,Ground,Position,Inns,Runs,Mins,BF,Fours,Sixes,Sr,Dismissal,Not Out
28-09-2017,ODI,2017, Australia,Bengaluru,2,2,65,93,55,1,5,118.18,run out,No
01-10-2017,ODI,2017, Australia,Nagpur,2,2,125,165,109,11,5,114.67,caught,No
07-10-2017,T20I,2017, Australia,Ranchi,1,2,11,5,7,1,1,157.14,bowled,No
10-10-2017,T20I,2017, Australia,Guwahati,1,1,8,3,4,2,0,200.00,lbw,No
22-10-2017,ODI,2017, New Zealand,Wankhede,1,1,20,27,18,0,2,111.11,bowled,No
25-10-2017,ODI,2017, New Zealand,Pune,1,2,7,17,19,1,0,36.84,caught,No
29-10-2017,ODI,2017, New Zealand,Kanpur,1,1,147,168,138,18,2,106.52,caught,No
01-11-2017,T20I,2017, New Zealand,Delhi,1,1,80,85,55,6,4,145.45,caught,No
04-11-2017,T20I,2017, New Zealand,Rajkot,1,2,5,9,6,1,0,83.33,caught,No
07-11-2017,T20I,2017, New Zealand,Thiruvananthapuram,1,1,8,11,9,1,0,88.88,caught,No
24-11-2017,Test,2017, Sri Lanka,Nagpur,6,2,102,191,160,8,1,63.75,not out,Yes
02-12-2017,Test,2017, Sri Lanka,Delhi,6,1,65,129,102,7,2,63.72,caught,No
02-12-2017,Test,2017, Sri Lanka,Delhi,6,3,50,77,49,5,0,102.04,not out,Yes
10-12-2017,ODI,2017, Sri Lanka,Dharamsala,1,1,2,19,13,0,0,15.38,caught,No
13-12-2017,ODI,2017, Sri Lanka,Mohali,1,1,208,212,153,13,12,135.94,not out,Yes
17-12-2017,ODI,2017, Sri Lanka,Visakhapatnam,1,2,7,14,14,0,1,50.00,bowled,No
20-12-2017,T20I,2017, Sri Lanka,Cuttack,1,1,17,21,13,2,0,130.76,caught,No
22-12-2017,T20I,2017, Sri Lanka,Indore,1,1,118,61,43,12,10,274.41,caught,No
24-12-2017,T20I,2017, Sri Lanka,Wankhede,1,2,27,31,20,4,1,135.00,caught,No
05-01-2018,Test,2018, South Africa,Cape Town,5,2,11,95,59,1,0,18.64,lbw,No
05-01-2018,Test,2018, South Africa,Cape Town,5,4,10,53,30,0,0,33.33,bowled,No
13-01-2018,Test,2018, South Africa,Centurion,5,2,10,34,27,2,0,37.03,lbw,No
13-01-2018,Test,2018, South Africa,Centurion,6,4,47,102,74,6,1,63.51,caught,No
01-02-2018,ODI,2018, South Africa,Durban,1,2,20,25,30,2,1,66.66,caught,No
04-02-2018,ODI,2018, South Africa,Centurion,1,2,15,19,17,2,1,88.23,caught,No
07-02-2018,ODI,2018, South Africa,Cape Town,1,1,0,4,6,0,0,0.00,caught,No
10-02-2018,ODI,2018, South Africa,Johannesburg,1,1,5,19,13,1,0,38.46,caught,No
13-02-2018,ODI,2018, South Africa,Gqeberha,2,1,115,179,126,11,4,91.26,caught,No
16-02-2018,ODI,2018, South Africa,Centurion,2,2,15,14,13,3,0,115.38,caught,No
18-02-2018,T20I,2018, South Africa,Johannesburg,1,1,21,8,9,2,2,233.33,caught,No
21-02-2018,T20I,2018, South Africa,Centurion,2,1,0,5,1,0,0,0.00,lbw,No
24-02-2018,T20I,2018, South Africa,Cape Town,1,1,11,9,8,2,0,137.50,lbw,No
06-03-2018,T20I,2018, Sri Lanka,Colombo (RPS),1,1,0,0,4,0,0,0.00,caught,No
08-03-2018,T20I,2018, Bangladesh,Colombo (RPS),1,2,17,0,13,3,0,130.76,bowled,No
12-03-2018,T20I,2018, Sri Lanka,Colombo (RPS),1,2,11,0,7,1,1,157.14,caught,No
14-03-2018,T20I,2018, Bangladesh,Colombo (RPS),1,1,89,0,61,5,5,145.90,run out,No
18-03-2018,T20I,2018, Bangladesh,Colombo (RPS),2,2,56,0,42,4,3,133.33,caught,No
27-06-2018,T20I,2018, Ireland,Dublin (Malahide),1,1,97,87,61,8,5,159.01,bowled,No
29-06-2018,T20I,2018, Ireland,Dublin (Malahide),4,1,0,0,2,0,0,0.00,caught,No
03-07-2018,T20I,2018, England,Manchester,2,2,32,0,30,3,1,106.66,caught,No
06-07-2018,T20I,2018, England,Cardiff,1,1,5,0,9,1,0,55.55,caught,No
08-07-2018,T20I,2018, England,Bristol,1,2,100,0,56,11,5,178.57,not out,Yes
12-07-2018,ODI,2018, England,Nottingham,1,2,137,0,114,15,4,120.17,not out,Yes
14-07-2018,ODI,2018, England,Lord's,1,2,15,0,26,2,0,57.69,bowled,No
17-07-2018,ODI,2018, England,Leeds,1,1,2,24,18,0,0,11.11,caught,No
18-09-2018,ODI,2018, Hong Kong,Dubai (DICS),1,1,23,0,22,4,0,104.54,caught,No
19-09-2018,ODI,2018, Pakistan,Dubai (DICS),1,2,52,0,39,6,3,133.33,bowled,No
21-09-2018,ODI,2018, Bangladesh,Dubai (DICS),1,2,83,0,104,5,3,79.80,not out,Yes
23-09-2018,ODI,2018, Pakistan,Dubai (DICS),1,2,111,0,119,7,4,93.27,not out,Yes
28-09-2018,ODI,2018, Bangladesh,Dubai (DICS),1,2,48,0,55,3,3,87.27,caught,No
21-10-2018,ODI,2018, West Indies,Guwahati,1,2,152,0,117,15,8,129.91,not out,Yes
24-10-2018,ODI,2018, West Indies,Visakhapatnam,1,1,4,14,8,1,0,50.00,caught,No
27-10-2018,ODI,2018, West Indies,Pune,1,2,8,0,9,2,0,88.88,bowled,No
29-10-2018,ODI,2018, West Indies,Brabourne,1,1,162,0,137,20,4,118.24,caught,No
01-11-2018,ODI,2018, West Indies,Thiruvananthapuram,1,2,63,65,56,5,4,112.50,not out,Yes
04-11-2018,T20I,2018, West Indies,Eden Gardens,1,2,6,0,6,1,0,100.00,caught,No
06-11-2018,T20I,2018, West Indies,Lucknow,1,1,111,95,61,8,7,181.96,not out,Yes
11-11-2018,T20I,2018, West Indies,Chennai,2,2,4,0,6,1,0,66.66,caught,No
21-11-2018,T20I,2018, Australia,Brisbane,1,2,7,0,8,0,0,87.50,caught,No
25-11-2018,T20I,2018, Australia,Sydney,1,2,23,0,16,1,2,143.75,bowled,No
06-12-2018,Test,2018, Australia,Adelaide,6,1,37,71,61,2,3,60.65,caught,No
06-12-2018,Test,2018, Australia,Adelaide,6,3,1,15,6,0,0,16.66,caught,No
26-12-2018,Test,2018, Australia,Melbourne,6,1,63,186,114,5,0,55.26,not out,Yes
26-12-2018,Test,2018, Australia,Melbourne,6,3,5,28,18,0,0,27.77,caught,No
12-01-2019,ODI,2019, Australia,Sydney,1,2,133,204,129,10,6,103.10,caught,No
15-01-2019,ODI,2019, Australia,Adelaide,1,2,43,71,52,2,2,82.69,caught,No
18-01-2019,ODI,2019, Australia,Melbourne,1,2,9,0,17,1,0,52.94,caught,No
23-01-2019,ODI,2019, New Zealand,Napier,1,2,11,38,24,1,0,45.83,caught,No
26-01-2019,ODI,2019, New Zealand,Mount Maunganui,1,1,87,116,96,9,3,90.62,caught,No
28-01-2019,ODI,2019, New Zealand,Mount Maunganui,1,2,62,115,77,3,2,80.51,stumped,No
31-01-2019,ODI,2019, New Zealand,Hamilton,1,1,7,33,23,0,0,30.43,caught,No
03-02-2019,ODI,2019, New Zealand,Wellington,1,1,2,16,16,0,0,12.50,bowled,No
06-02-2019,T20I,2019, New Zealand,Wellington,1,2,1,10,5,0,0,20.00,caught,No
08-02-2019,T20I,2019, New Zealand,Auckland,1,2,50,40,29,3,4,172.41,caught,No
10-02-2019,T20I,2019, New Zealand,Hamilton,2,2,38,63,32,3,0,118.75,caught,No
24-02-2019,T20I,2019, Australia,Visakhapatnam,1,1,5,11,8,0,0,62.50,caught,No
02-03-2019,ODI,2019, Australia,Hyderabad,1,2,37,0,66,5,0,56.06,caught,No
05-03-2019,ODI,2019, Australia,Nagpur,1,1,0,0,6,0,0,0.00,caught,No
08-03-2019,ODI,2019, Australia,Ranchi,2,2,14,0,14,2,1,100.00,lbw,No
10-03-2019,ODI,2019, Australia,Mohali,1,1,95,0,92,7,2,103.26,caught,No
13-03-2019,ODI,2019, Australia,Delhi,1,2,56,0,89,4,0,62.92,stumped,No
05-06-2019,ODI,2019, South Africa,Southampton,2,2,122,212,144,13,2,84.72,not out,Yes
09-06-2019,ODI,2019, Australia,The Oval,1,1,57,101,70,3,1,81.42,caught,No
16-06-2019,ODI,2019, Pakistan,Manchester,2,1,140,153,113,14,3,123.89,caught,No
22-06-2019,ODI,2019, Afghanistan,Southampton,2,1,1,60,10,0,0,10.00,bowled,No
27-06-2019,ODI,2019, West Indies,Manchester,2,1,18,28,23,1,1,78.26,caught,No
30-06-2019,ODI,2019, England,Birmingham,2,2,102,152,109,15,0,93.57,caught,No
02-07-2019,ODI,2019, Bangladesh,Birmingham,2,1,104,121,92,7,5,113.04,caught,No
06-07-2019,ODI,2019, Sri Lanka,Leeds,2,2,103,133,94,14,2,109.57,caught,No
09-07-2019,ODI,2019, New Zealand,Manchester,2,2,1,7,4,0,0,25.00,caught,No
03-08-2019,T20I,2019, West Indies,Lauderhill,1,2,24,0,25,2,2,96.00,caught,No
04-08-2019,T20I,2019, West Indies,Lauderhill,1,1,67,0,51,6,3,131.37,caught,No
11-08-2019,ODI,2019, West Indies,Port of Spain,2,1,18,75,34,2,0,52.94,caught,No
14-08-2019,ODI,2019, West Indies,Port of Spain,1,2,10,13,6,2,0,166.66,run out,No
18-09-2019,T20I,2019, South Africa,Mohali,1,2,12,21,12,0,2,100.00,lbw,No
22-09-2019,T20I,2019, South Africa,Bengaluru,2,1,9,11,8,2,0,112.50,caught,No
02-10-2019,Test,2019, South Africa,Visakhapatnam,2,1,176,0,244,23,6,72.13,stumped,No
02-10-2019,Test,2019, South Africa,Visakhapatnam,2,3,127,0,149,10,7,85.23,stumped,No
10-10-2019,Test,2019, South Africa,Pune,2,1,14,0,35,1,0,40.00,caught,No
19-10-2019,Test,2019, South Africa,Ranchi,2,1,212,0,255,28,6,83.13,caught,No
03-11-2019,T20I,2019, Bangladesh,Delhi,1,1,9,0,5,2,0,180.00,lbw,No
07-11-2019,T20I,2019, Bangladesh,Rajkot,1,2,85,0,43,6,6,197.67,caught,No
10-11-2019,T20I,2019, Bangladesh,Nagpur,1,1,2,0,6,0,0,33.33,bowled,No
14-11-2019,Test,2019, Bangladesh,Indore,2,2,6,0,14,1,0,42.85,caught,No
22-11-2019,Test,2019, Bangladesh,Eden Gardens,2,2,21,0,35,2,1,60.00,lbw,No
06-12-2019,T20I,2019, West Indies,Hyderabad,1,2,8,0,10,1,0,80.00,caught,No
08-12-2019,T20I,2019, West Indies,Thiruvananthapuram,1,1,15,0,18,2,0,83.33,bowled,No
11-12-2019,T20I,2019, West Indies,Wankhede,1,1,71,0,34,6,5,208.82,caught,No
15-12-2019,ODI,2019, West Indies,Chennai,1,1,36,0,56,6,0,64.28,caught,No
18-12-2019,ODI,2019, West Indies,Visakhapatnam,1,1,159,0,138,17,5,115.21,caught,No
22-12-2019,ODI,2019, West Indies,Cuttack,1,2,63,0,63,8,1,100.00,caught,No
14-01-2020,ODI,2020, Australia,Wankhede,1,1,10,0,15,2,0,66.66,caught,No
17-01-2020,ODI,2020, Australia,Rajkot,1,1,42,0,44,6,0,95.45,lbw,No
19-01-2020,ODI,2020, Australia,Bengaluru,1,2,119,0,128,8,6,92.96,caught,No
24-01-2020,T20I,2020, New Zealand,Auckland,1,2,7,0,6,0,1,116.66,caught,No
26-01-2020,T20I,2020, New Zealand,Auckland,1,2,8,3,6,2,0,133.33,caught,No
29-01-2020,T20I,2020, New Zealand,Hamilton,1,1,65,50,40,6,3,162.50,caught,No
